"1","Скопје, North Macedonia"
"2","San Sadurni de Anoia, Barcelona"
"3","Terrassa, Barcelona"
"4","Viena, Austria"
"5","Budapest, Hungria"
"6","La Morra, Italia"
"7","Torino, Italia"
"8","Alba, Italia"
"9","Bra, Italia"
"10","Espinho, Portugal"
"11","Obidos, Portugal"
"12","Vigo, Spain"
"13","Coimbra, Portugal"
"14","Bangkok, Tailandia"
"15","Nueva York, USA"
"16","Balneario de Panticosa, Ctra Balneario, Panticosa"
"17","Cheddar, UK"
"18","Weston-super-Mare, UK"
"19","Wells, UK"
"20","Bristol, UK"
"21","Colchester, UK"
"22","Alcoutim, Portugal"
"23","La Palma del Condado, España"
"24","Zahara de los Atunes, Spain"
"25","Pantai Selong Belanak, Selong Belanak, Central Lombok Regency, Nusa Tenggara Occidental, Indonesia"
"26","Pantai Mawun, Central Lombok Regency, Nusa Tenggara Occidental, Indonesia"
"27","Kuta Beach, Kuta, Central Lombok Regency, Nusa Tenggara Occidental, Indonesia"
"28","Senggigi, Indonesia"
"29","Gili Trawangan, Indonesia"
"30","Kuala Lumpur, Malasia"
"31","Gratham, United Kingdom"
"32","aysgarth falls"
"33","Jervaulx Abbey & Tea Rooms, Jervaulx"
"34","Harrogate, United Kingdom"
"35","Windermere, United Kingdom"
"36","Stratford-upon-Avon, United Kingdom"
"37","villasimius, italia"
"38","iglesias, italia"
"39","cagliari, italia"
"40","cremona, italia"
"41","parna, italia"
"42","siena, italia"
"43","livorno, italia"
"44","Cinque Terre, Levanto, La Spezia, Italia"
"45","génova, italia"
"46","remis, francia"
"47","arrás, francia"
"48","de haan, belgica"
"49","dinant, belgica"
"50","namur, belgica"
"51","luxemburgo, luxemburgo"
"52","colonia, alemania"
"53","aquisgran, alemania"
"54","lieja, belgica"
"55","Mons, Belgium"
"56","Reims, France"
"57","Lille, France"
"58","Brugge, Belgium"
"59","Gent, Belgium"
"60","Kortrijk, Belgium"
"61","Albarracin, Teruel, España"
"62","Almansa, Albacete, España"
"63","Albacete, Albacete, España"
"64","Baeza, Jaen, España"
"65","Ubeda, Jaen, España"
"66","Motril, Granada, España"
"67","Salobreña, Granada, España"
"68","Frigiliana, Malaga, España"
"69","Lanjaron, Granada, España"
"70","Mijas, Malaga, España"
"71","Ronda, Malaga, España"
"72","Nerja, Malaga, España"
"73","Torrox, Malaga, España"
"74","La Herradura, Granada, España"
"75","Almuñecar, Granada, España"
"76","Marbella, Malaga, España"
"77","Torres, Jaen, España"
"78","Toledo, Toledo, España"
"79","Segovia, Segovia, España"
"80","Consuegra de Murera, Segovia"
"81","Sepulveda, Segovia, España"
"82","Aranda de Duero, España"
"83","Soria, Soria, España"
"84","Haro, Logroño, España"
"85","Saint-Jean-de-Luz, Francia "
"86","Elizondo, Navarra, España"
"87","Saint-Étienne-de-Baïgorry, Francia "
"88","Saint-Jean-Pied-de-Port, Francia"
"89","Cambo-les-Bains, France"
"90","Biarrtiz, France"
"91","Noja"
"92","Oriñon"
"93","Castro Urdiales"
"94","Barakaldo, Vizcaya"
"95","Santurtzi"
"96","Ajo, Cantabria"
"97","Olite, Navarra"
"98","Tafalla, Navarra"
"99","Vitoria, Alava"
"100","Barbastro"
"101","pamplona"
"102","palencia"
"103","zamora"
"104","vila real, portugal"
"105","tui, pontevedra"
"106","oporto, portugal"
"107","santiago de compostela"
"108","luarca, asturias"
"109","llanes, asturias"
"110","Riglos, España"
"111","Santillana del Mar, España"
"112","Comillas, España"
"113","San Vicente de la Barquera, España"
"114","Treceño, España"
"115","Lierganes, España"
"116","Isla playa, España"
"117","Santoña, España"
"118","Laredo, España"
"119","Limpias, España"
"120","Almudevar, España"
"121","Jaca, Huesca"
"122","Huesca, España"
"123","Rubielos de Mora, España"
"124","Cariñena. Teruel"
"125","Teruel. España"
"126","saint albans, reino unido"
"127","cambridge, reino unido"
"128","cabo da roca, portugal"
"129","Sintra, Portugal"
"130","Cascais, Portugal"
"131","Bath, United Kingdom"
"132","Cardiff, United Kingdom"
"133","Brighton, United Kingdom"
"134","Surbiton, United Kingdom"
"135","The Royal Paddocks, United Kingdom"
"136","Arrochar, Argyll and Bute, Reino Unido"
"137","Loch Melfort , Reino Unido"
"138","Loch Lubnaig, Reino Unido"
"139","Doune, Reino Unido"
"140","Dunfermline, Reino Unido"
"141","Edinburgo, Reino Unido"
"142","Oxford, United Kingdom"
"143","Ventimiglia, Italia"
"144","Sanremo, Italia"
"145","Cannes, Francia"
"146","Aigues Mortes, France"
"147","Saintes Maries de la Mer, France"
"148","Salon-de-Provence, France"
"149","Millau, France"
"150","Roquefort-sur-Soulzon, France"
"151","Sauve, France"
"152","Le Vigan, France"
"153","Avignon, France"
"154","Uzès, France"
"155","Aix-en-Provence, France"
"156","Arles, France"
"157","Nimes, France"
"158","tarazona, zaragoza"
"159","milazzo, sicily, italy"
"160","catania, sicily, italy"
"161","noto, sicily, italy"
"162","siracusa, sicily, italy"
"163","palermo, sicily, italy"
"164","Guildford, Reino Unido"
"165","Milan, Italia"
"166","Pegognaga, Italia"
"167","San Benedetto Po, italia"
"168","Bussolengo, italia"
